appid,title,total_reviews,review_percent
102500,Kingdoms of Amalur: Reckoning™,12973,87.93
102600,Orcs Must Die!,8386,95.9
102840,Shank 2,3561,82.39
104200,BEEP,4703,85.12
105000,A New Beginning - Final Cut,2076,74.61
105600,Terraria,1506596,97.4
104900,ORION: Prelude,28360,75.41
107100,Bastion,37879,95.3
107200,Space Pirates and Zombies,3139,90.73
107300,Breath of Death VII,1446,83.75
107410,Arma 3,290909,90.48
107310,Cthulhu Saves the World,3466,91.83
108600,Project Zomboid,437413,94.12
107600,Waves,1548,95.09
108800,Crysis 2 - Maximum Edition,13753,85.33
108710,Alan Wake,56135,90.14
109600,Neverwinter,39308,77.55
110800,L.A. Noire,35808,85.86
113020,Monaco: What's Yours Is Mine,8529,90.55
113200,The Binding of Isaac,61920,94.74
115120,Iron Brigade,1202,85.69
115110,Stacking,1827,89.22
115300,Call of Duty®: Modern Warfare® 3 (2011),39073,88.92
115800,Owlboy,6033,83.69
115320,Prototype 2,15560,76.49
200010,Quantum Conundrum,2129,84.64
200170,Worms Revolution,8977,87.26
200210,Realm of the Mad God Exalt,47333,82.75
200510,XCOM: Enemy Unknown,57901,93.17
200260,Batman: Arkham City - Game of the Year Edition,74539,96.16
200710,Torchlight II,45112,92.65
200900,Cave Story+,7921,92.77
200910,Before the Echo,1445,86.16
201230,EverQuest II,2831,79.19
201270,Total War: SHOGUN 2,66248,91.76
201420,Toki Tori 2+,1082,85.21
201570,Really Big Sky,1890,75.08
201790,Orcs Must Die! 2,19490,92.47
201810,Wolfenstein: The New Order,60367,91.67
201870,Assassin's Creed® Revelations,19656,84.45
202170,Sleeping Dogs,17204,94.43
202200,Galactic Civilizations® II: Ultimate Edition,1695,76.93
202710,Demigod,1289,75.25
202750,Alan Wake's American Nightmare,10186,73.99
202970,Call of Duty®: Black Ops II,48513,86.21
203160,Tomb Raider Game of the Year,262308,96.06
203290,America's Army: Proving Grounds,11001,78.87
203350,King's Bounty: Warriors of the North,1968,79.73
203140,Hitman: Absolution™,60813,93.1
203630,Warlock - Master of the Arcane,2620,86.18
203650,Sonic the Hedgehog 4 - Episode II,2219,74.09
203750,Binary Domain,8042,85.76
203770,Crusader Kings II,73390,90.56
203830,The Dark Eye: Chains of Satinav,2455,86.88
204060,Superbrothers: Sword & Sworcery EP,2642,77.4
204100,Max Payne 3,61580,86.83
204120,LEGO® Harry Potter: Years 5-7,3277,89.2
204180,Waveform,2133,82.65
204300,Awesomenauts,26904,84.58
204340,Serious Sam II,13621,89.83
204240,The Bridge,4338,86.98
204360,Castle Crashers®,136072,96.18
204450,Call of Juarez: Gunslinger,42705,95.01
204530,Infested Planet,3010,93.62
204630,Retro City Rampage™ DX,2416,88.0
204880,Sins of a Solar Empire®: Rebellion,16228,93.16
205020,Lumino City,1378,86.79
205230,Hell Yeah! Wrath of the Dead Rabbit,3696,85.34
205100,Dishonored,14624,97.84
205710,EverQuest,2600,78.62
205610,Port Royale 3,1548,73.51
205840,Yesterday,1006,83.3
205910,Tiny and Big: Grandpa's Leftovers,4135,91.58
206190,Gunpoint,13240,97.54
206370,Tales From Space: Mutant Blobs Attack,1018,91.75
206420,Saints Row IV: Re-Elected,77411,87.71
206440,To the Moon,84619,96.2
206480,Dungeons & Dragons Online®,7722,71.35
206500,AirMech,10804,84.09
207080,Indie Game: The Movie,1881,92.24
207140,SpeedRunners,37045,94.02
207170,Legend of Grimrock,6604,93.61
207230,ArcheBlade™,7614,73.34
207350,Ys Origin,3550,92.96
207320,Ys: The Oath in Felghana,2068,93.86
207490,Rayman® Origins,5769,94.04
207610,The Walking Dead,78577,97.34
207690,Botanicula,6541,95.34
207750,Symphony,1494,84.0
208140,ENDLESS™ Space - Definitive Edition,9550,80.65
208400,Avernum: Escape From the Pit,1286,91.45
208200,DOOM 3,12065,86.22
208580,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,25382,93.53
208650,Batman™: Arkham Knight,152803,89.36
208670,Blades of Time,2640,78.56
208730,Game of Thrones,2340,72.48
208750,Apotheon,3820,89.84
209000,Batman™: Arkham Origins,62679,89.74
209080,Guns of Icarus Online,14669,89.89
209190,Stealth Bastard Deluxe,1208,88.91
209370,Analogue: A Hate Story,2291,93.06
209540,Strike Suit Zero,1665,77.18
209630,Magrunner: Dark Pulse,1122,73.08
209670,Cortex Command,6050,71.72
209830,Lone Survivor: The Director's Cut,1301,85.01
210770,Sanctum 2,14349,89.95
210970,The Witness,20330,84.51
211050,Battle vs Chess,1515,72.74
211070,Check vs Mate,1515,72.74
211260,They Bleed Pixels,2537,83.17
211340,Magical Diary: Horse Hall,1019,90.19
211400,Deadlight,12729,78.66
211500,RaceRoom Racing Experience,26688,76.02
211440,Adventures of Shuggy,1204,85.22
211600,Thief Gold,4056,92.5
212010,Galaxy on Fire 2™ Full HD,2216,76.53
211740,Thief II: The Metal Age,2058,94.31
211780,Conflict Desert Storm™,1319,70.13
211820,Starbound,122841,90.13
212030,Kung Fu Strike - The Warrior's Rise,1142,77.93
212070,Star Conflict,15079,72.74
212200,Mabinogi,4115,74.31
212480,Sonic & All-Stars Racing Transformed Collection,17545,93.37
212500,The Lord of the Rings Online™,22474,81.34
212800,Super Crate Box,6452,88.95
212680,FTL: Faster Than Light,77444,95.15
213330,LEGO® Batman™ 2: DC Super Heroes,8817,94.68
213610,Sonic Adventure 2,27423,89.24
213670,South Park™: The Stick of Truth™,71956,97.56
213650,Dwarfs - F2P,1691,85.51
214170,Divine Divinity,3857,87.84
214360,Tower Wars,1751,72.24
214340,Deponia,12738,86.87
214420,Gear Up,8348,74.75
214490,Alien: Isolation,64276,93.16
